(57.01415405626541, 9.967151651589688)
(57.014046297768516, 9.967151651315966)
(57.01393853926975, 9.967151651042249)
(57.013830780769126, 9.967151650768532)
(57.013723021961496, 9.967349181962255)
(57.01383078046399, 9.967349182807203)
(57.01393853896462, 9.967349183652155)
(57.01404629746339, 9.967349184497111)
(57.01415405596029, 9.967349185342075)
(57.01426181445531, 9.967349186187045)
(57.01436957294846, 9.96734918703202)
(57.01469284779997, 9.967546726175632)
(57.01458508931241, 9.967546724759382)
(57.014477330822984, 9.967546723343135)
(57.014369572331695, 9.967546721926903)
(57.01426181383853, 9.967546720510677)
(57.01415405534351, 9.967546719094463)
(57.01404629684662, 9.967546717678253)
(57.01393853834787, 9.967546716262056)
(57.01383077984722, 9.96754671484587)
(57.01372302134474, 9.96754671342969)
(57.013723020416364, 9.967744244897114)
(57.01383077891886, 9.967744246884525)
(57.01393853741948, 9.967744248871949)
(57.01404629591824, 9.96774425085939)
(57.01415405441512, 9.96774425284684)
(57.01426181291015, 9.967744254834301)
(57.0143695714033, 9.967744256821778)
(57.01447732989459, 9.967744258809258)
(57.01458508838401, 9.967744260796769)
(57.01469284687156, 9.967744262784283)
(57.01469284563153, 9.967941799392921)
(57.01458508714398, 9.967941796834143)
(57.01447732865457, 9.967941794275387)
(57.01436957016329, 9.967941791716639)
(57.014261811670124, 9.967941789157914)
(57.01415405317512, 9.9679417865992)
(57.014046294678245, 9.967941784040505)
(57.01393853617948, 9.967941781481834)
(57.01383077767885, 9.967941778923178)
(57.01372301917637, 9.96794177636453)
(57.013615260672005, 9.967941773805908)
(57.0136152591204, 9.968139304702078)
(57.01372301762475, 9.968139307831933)
(57.01383077612723, 9.968139310961806)
(57.01393853462785, 9.968139314091697)
(57.01404629312661, 9.968139317221613)
(57.01415405162348, 9.968139320351556)
(57.014261810118484, 9.968139323481509)
(57.014369568611635, 9.968139326611483)
(57.01447732710292, 9.968139329741478)
(57.01458508559233, 9.968139332871493)
(57.01458508372904, 9.968336868908843)
(57.01447732523963, 9.96833686520756)
(57.01436956674836, 9.968336861506312)
(57.01426180825522, 9.968336857805081)
(57.014154049760215, 9.968336854103885)
(57.01404629126334, 9.968336850402705)
(57.0139385327646, 9.968336846701549)
(57.01383077426399, 9.96833684300042)
(57.013723015761514, 9.96833683929931)
(57.01361525725716, 9.968336835598235)
(57.0135074965761, 9.968534362222085)
(57.01361525508231, 9.968534366494366)
(57.01372301358665, 9.968534370766672)
(57.01383077208912, 9.96853437503901)
(57.01393853058972, 9.968534379311384)
(57.01404628908846, 9.96853438358377)
(57.01415404758533, 9.968534387856195)
(57.01426180608032, 9.96853439212865)
(57.01436956457345, 9.968534396401127)
(57.01447732306472, 9.968534400673626)
(57.014585081554124, 9.968534404946164)
(57.01447732057818, 9.968731936139664)
(57.01436956208692, 9.968731931295906)
(57.0142618035938, 9.968731926452183)
(57.014154045098806, 9.968731921608482)
(57.014046286601946, 9.968731916764817)
(57.013938528103225, 9.968731911921173)
(57.01383076960261, 9.968731907077586)
(57.013723011100176, 9.968731902234008)
(57.013615252595834, 9.968731897390475)
(57.01350749408963, 9.96873189254697)
(57.01372300830205, 9.968929433701314)
(57.0138307668045, 9.968929439116115)
(57.013938525305086, 9.968929444530959)
(57.014046283803815, 9.968929449945824)
(57.01415404230066, 9.96892945536074)
(57.014261800795644, 9.968929460775675)
(57.01436955928876, 9.968929466190659)
(57.01447731778001, 9.968929471605673)
(57.014585076269384, 9.968929477020723)
(57.01490834861648, 9.969127031017127)
(57.014800590132715, 9.9691270250307)
(57.01469283164708, 9.969127019044313)
(57.014585073159566, 9.969127013057964)
(57.014477314670195, 9.969127007071652)
(57.01436955617897, 9.96912700108538)
(57.01426179768586, 9.969126995099153)
(57.01415403919089, 9.96912698911296)
(57.014046280694046, 9.969126983126806)
(57.013938522195346, 9.969126977140698)
(57.01383076369477, 9.969126971154628)
(57.013723005192325, 9.969126965168593)
(57.01372300177098, 9.96932449663584)
(57.0138307602734, 9.969324503193096)
(57.01393851877397, 9.969324509750411)
(57.01404627727266, 9.969324516307758)
(57.0141540357695, 9.969324522865154)
(57.014261794264456, 9.969324529422584)
(57.01436955275754, 9.96932453598007)
